팀명,타자기록1,타자기록2,타자기록3,타자기록4,타자기록5,타자기록6,수비기록1
두산,"2루타 : 김재환 (3회, 1호)","3루타 : 김민석 (4회, 1호)","타점 : 김재환 (3회 1점, 1호) , 박준영 (4회 1점, 1호) , 김민석 (4회 2점, 2호) , 김재환 (6회 1점, 2호)",득점권상황 : 10타수 3안타,,,
SSG,"홈런 : 오태곤 (8회, 1호)","희생번트 : 이지영 (5회, 1호)","희생플라이 : 최지훈 (2회, 1호)","사구 : 이지영 (2회, 1호) , 박성한 (2회, 1호)","타점 : 하재훈 (2회 1점, 1호) , 고명준 (2회 1점, 1호) , 최지훈 (2회 1점, 1호) , 박성한 (5회 1점, 1호) , 오태곤 (8회 2점, 2호)",득점권상황 : 9타수 2안타,"실책 : 정준재 (4회, 1호) , 정준재 (7회, 2호)"
