팀명,타자기록1,타자기록2,타자기록3,타자기록4,타자기록5,수비기록1
NC,"2루타 : 박건우 (6회, 1호) , 박민우 (9회, 1호)","사구 : 권희동 (5회, 1호)","타점 : 박건우 (6회 2점, 2호)",득점권상황 : 5타수 1안타,,
KIA,"2루타 : 이우성 (7회, 1호) , 최형우 (8회, 1호) , 박정우 (8회, 1호)","홈런 : 한준수 (8회, 1호)","병살타 : 나성범 (3회, 1호)","타점 : 김태군 (2회 1점, 1호) , 나성범 (8회 1점, 1호) , 최형우 (8회 2점, 2호) , 김선빈 (8회 2점, 2호) , 한준수 (8회 3점, 3호)",득점권상황 : 8타수 5안타,
