팀명,타자기록1,타자기록2,타자기록3,타자기록4,타자기록5,타자기록6,수비기록1
키움,"2루타 : 카디네스 (7회, 1호)","홈런 : 여동욱 (2회, 1호) , 푸이그 (7회, 1호)","병살타 : 김태진 (3회, 1호) , 오선진 (8회, 1호) , 권혁빈 (9회, 1호)","사구 : 푸이그 (1회, 1호)","타점 : 카디네스 (1회 1점, 1호) , 여동욱 (2회 1점, 1호) , 푸이그 (7회 2점, 2호) , 김동헌 (8회 1점, 1호)",득점권상황 : 12타수 2안타,"실책 : 장재영 (7회, 1호)"
삼성,"2루타 : 이재현 (1회, 1호) , 강민호 (2회, 1호) , 강민호 (5회, 2호) , 박병호 (5회, 1호)","홈런 : 김헌곤 (2회, 1호) , 구자욱 (5회, 1호)","희생플라이 : 디아즈 (5회, 1호)","사구 : 이재현 (2회, 1호)","타점 : 디아즈 (1회 1점, 1호) , 김헌곤 (2회 1점, 1호) , 구자욱 (2회 1점, 1호) , 강민호 (2회 2점, 2호) , 구자욱 (4회 1점, 2호) , 박병호 (4회 2점, 2호) , 류지혁 (4회 1점, 1호) , 김영웅 (4회 1점, 1호) , 구자욱 (5회 2점, 4호) , 디아즈 (5회 1점, 2호)",득점권상황 : 18타수 8안타,
