팀 이름,이름,IP,TBF,H,R,ER,BB,HBP,K,HR,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI,WPA,RE24
한화,폰세,5.0,22,7,2,2,1,0,4,0,7-2,87-61,0-0,48,3.60,1.60,0.98,0.024,1.41
한화,박상원,1.0,5,1,0,0,0,1,1,0,0-2,20-11,0-0,,0.00,1.00,0.92,0.047,0.68
한화,김서현,1.0,4,1,0,0,0,0,0,0,1-2,11-6,0-0,,0.00,1.00,1.52,0.108,0.68
한화,한승혁,1.0,4,1,0,0,0,0,1,0,1-1,13-8,0-0,,0.00,1.00,1.70,0.089,0.68
한화,주현상,1.0,4,2,1,1,0,0,1,1,0-1,18-9,0-0,,9.00,2.00,3.44,0.091,-0.32
한화,팀 합계,9.0,39,12,3,3,1,1,7,1,9-8,149-95,0-0,48,3.00,1.44,1.71,0.359,3.13
KT,헤이수스,6.0,22,2,1,1,2,0,7,0,7-3,94-65,0-0,69,1.50,0.67,1.01,0.267,3.10
KT,김민수,0.2,5,3,2,2,0,0,1,0,0-1,19-13,0-0,,27.00,4.50,2.27,-0.375,-1.75
KT,원상현,0.2,4,1,1,1,0,1,1,1,1-0,18-9,1-0,,13.50,1.50,1.20,-0.066,-0.24
KT,손동현,0.2,2,0,0,0,0,0,0,0,0-2,8-4,0-0,,0.00,0.00,0.32,0.016,0.36
KT,우규민,1.0,3,0,0,0,0,0,0,0,2-1,17-12,0-0,,0.00,0.00,0.23,0.017,-0.32
KT,팀 합계,9.0,36,6,4,4,2,1,9,1,10-7,156-103,1-0,69,4.00,0.89,1.01,-0.141,1.15
