팀명,타자기록1,타자기록2,타자기록3,타자기록4,타자기록5,타자기록6,타자기록7,수비기록1
삼성,"2루타 : 디아즈 (4회, 2호) , 박병호 (8회, 2호)","희생번트 : 이재현 (8회, 1호)","병살타 : 김영웅 (8회, 2호)","고의4구 : 구자욱 (8회, 2호)","타점 : 김영웅 (4회 2점, 10호) , 박병호 (8회 2점, 9호)",득점권상황 : 5타수 2안타,"도루성공 : 김지찬 (5회, 4호)",
KIA,"2루타 : 나성범 (1회, 2호)","홈런 : 위즈덤 (3회, 5호)","타점 : 위즈덤 (3회 2점, 10호)",득점권상황 : 2타수 0안타,,,,
