팀명,타자기록1,타자기록2,타자기록3,타자기록4,타자기록5,타자기록6,타자기록7,타자기록8,타자기록9,수비기록1
롯데,"2루타 : 나승엽 (1회, 3호) , 유강남 (4회, 1호)","3루타 : 이호준 (2회, 1호)","홈런 : 윤동희 (2회, 1호) , 정훈 (8회, 1호)","희생플라이 : 전준우 (2회, 1호)","병살타 : 나승엽 (4회, 2호)","사구 : 나승엽 (3회, 2호) , 이호준 (4회, 1호) , 유강남 (6회, 1호)","타점 : 레이예스 (1회 1점, 4호) , 윤동희 (2회 1점, 1호) , 이호준 (2회 1점, 1호) , 전준우 (2회 1점, 2호) , 손호영 (4회 1점, 4호) , 정훈 (8회 1점, 2호)",득점권상황 : 6타수 0안타,"도루실패 : 김동혁 (6회, 1호)","실책 : 김진욱 (5회, 1호)"
한화,"병살타 : 안치홍 (5회, 1호)","타점 : 플로리얼 (3회 1점, 7호)",득점권상황 : 9타수 1안타,"도루실패 : 플로리얼 (3회, 2호)",,,,,,
