팀명,타자기록1,타자기록2,타자기록3,타자기록4,타자기록5,수비기록1
키움,"2루타 : 김재현 (3회, 1호)","홈런 : 이주형 (3회, 1호)","사구 : 이주형 (1회, 4호)","타점 : 이주형 (3회 3점, 5호)",득점권상황 : 5타수 1안타,"실책 : 어준서 (2회, 1호) , 김태진 (4회, 1호) , 김재현 (8회, 1호)"
두산,"홈런 : 양석환 (2회, 1호)","희생번트 : 추재현 (8회, 1호)","사구 : 강승호 (3회, 1호)","타점 : 양석환 (2회 1점, 2호) , 김재환 (8회 1점, 5호)",득점권상황 : 11타수 0안타,
