팀명,타자기록1,타자기록2,타자기록3,타자기록4,타자기록5,타자기록6,타자기록7,타자기록8,수비기록1
LG,"2루타 : 오지환 (7회, 2호)","홈런 : 오스틴 (3회, 4호)","희생플라이 : 문보경 (1회, 1호)","사구 : 홍창기 (6회, 4호)","타점 : 문보경 (1회 1점, 10호) , 오스틴 (3회 1점, 8호) , 오스틴 (5회 1점, 9호) , 오지환 (5회 2점, 6호)",득점권상황 : 12타수 2안타,"도루성공 : 송찬의 (1회, 1호) , 오스틴 (1회, 1호) , 박해민 (4회, 2호) , 신민재 (6회, 4호)","도루실패 : 오지환 (5회, 1호)",
KT,"2루타 : 강백호 (1회, 2호) , 장성우 (1회, 1호) , 권동진 (1회, 1호) , 김민혁 (2회, 2호)","홈런 : 로하스 (1회, 1호)","희생플라이 : 배정대 (1회, 2호)","타점 : 강백호 (1회 1점, 3호) , 장성우 (1회 2점, 3호) , 배정대 (1회 1점, 7호) , 권동진 (1회 2점, 2호) , 로하스 (1회 2점, 4호) , 김상수 (2회 1점, 3호)",득점권상황 : 8타수 5안타,,,,"실책 : 로하스 (5회, 1호)"
