팀명,타자기록1,타자기록2,타자기록3,타자기록4,타자기록5,타자기록6,타자기록7,타자기록8,타자기록9,타자기록10,수비기록1
NC,"2루타 : 박시원 (7회, 1호)","희생플라이 : 데이비슨 (1회, 1호) , 박건우 (5회, 1호)","사구 : 권희동 (4회, 2호)","타점 : 데이비슨 (1회 1점, 2호) , 박건우 (1회 1점, 3호) , 박건우 (5회 1점, 4호) , 권희동 (5회 1점, 1호) , 한재환 (7회 1점, 1호)",득점권상황 : 12타수 5안타,,,,,,"실책 : 데이비슨 (6회, 1호)"
삼성,"2루타 : 구자욱 (2회, 1호)","3루타 : 김지찬 (1회, 1호)","홈런 : 이재현 (2회, 1호) , 구자욱 (4회, 2호) , 김영웅 (6회, 2호) , 박병호 (8회, 2호)","희생번트 : 양도근 (6회, 1호)","희생플라이 : 구자욱 (1회, 1호)","병살타 : 디아즈 (1회, 1호) , 김헌곤 (3회, 1호)","사구 : 류지혁 (4회, 1호)","고의4구 : 구자욱 (6회, 1호)","타점 : 구자욱 (1회 1점, 5호) , 류지혁 (2회 1점, 5호) , 이재현 (2회 3점, 4호) , 구자욱 (4회 3점, 8호) , 김영웅 (6회 4점, 6호) , 박병호 (8회 1점, 5호)",득점권상황 : 12타수 5안타,
