팀명,타자기록1,타자기록2,타자기록3,타자기록4,타자기록5,타자기록6,타자기록7,타자기록8,타자기록9,타자기록10,수비기록1
NC,"2루타 : 박건우 (3회, 4호)","3루타 : 손아섭 (3회, 2호)","홈런 : 김주원 (3회, 1호)","희생번트 : 서호철 (5회, 2호)","희생플라이 : 박건우 (6회, 2호)","병살타 : 김주원 (8회, 1호)","사구 : 권희동 (5회, 5호) , 박민우 (6회, 1호)","타점 : 김주원 (3회 2점, 7호) , 박건우 (3회 1점, 6호) , 손아섭 (4회 2점, 6호) , 데이비슨 (6회 1점, 12호) , 박건우 (6회 1점, 7호)",득점권상황 : 11타수 3안타,"도루성공 : 도태훈 (6회, 2호)",
키움,"홈런 : 박주홍 (2회, 1호)","희생플라이 : 김건희 (5회, 1호)","병살타 : 김태진 (8회, 3호)","사구 : 푸이그 (9회, 3호)","타점 : 박주홍 (2회 3점, 4호) , 김건희 (5회 1점, 1호)",득점권상황 : 6타수 1안타,,,,,
