팀 이름,이름,IP,TBF,H,R,ER,BB,HBP,K,HR,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI,WPA,RE24
한화,류현진,5.0,24,8,4,4,1,0,2,2,6-7,89-53,0-0,36,3.18,1.12,1.00,-0.176,-0.95
한화,김종수,0.2,4,1,1,1,1,0,0,0,1-1,16-8,0-0,,1.50,1.17,0.30,-0.036,-0.78
한화,조동욱,0.2,2,0,0,0,0,0,0,0,0-2,5-3,1-0,,3.38,1.69,0.21,0.010,0.68
한화,정우주,0.2,2,0,0,0,0,0,1,0,1-0,6-5,0-0,,7.71,1.07,0.07,0.004,0.32
한화,김범수,0.1,1,0,0,0,0,0,0,0,0-1,5-3,0-0,,0.00,6.00,0.53,0.013,0.29
한화,박상원,0.2,3,1,1,1,1,0,1,1,0-0,13-6,0-0,,4.76,1.24,0.23,-0.071,-0.68
한화,김서현,1.0,3,0,0,0,0,0,0,0,2-1,11-7,0-0,,0.00,0.71,2.64,0.200,0.61
한화,팀 합계,9.0,39,10,6,6,3,0,4,3,10-12,145-85,1-0,36,6.00,1.44,0.71,-0.056,-0.51
삼성,이승현,5.0,21,1,1,0,4,0,2,0,8-6,85-52,0-0,61,5.19,1.73,1.14,0.173,1.05
삼성,이승현,1.0,3,0,0,0,1,0,0,0,0-2,11-6,0-0,,11.57,2.36,1.17,0.065,-0.39
삼성,이호성,0.2,4,0,0,0,2,0,1,0,0-1,20-9,0-0,,3.86,1.07,0.72,0.003,0.07
삼성,김태훈,0.1,1,0,0,0,0,0,0,0,1-0,3-3,2-0,,1.50,0.83,0.97,0.025,0.54
삼성,임창민,0.2,5,3,3,3,0,0,1,2,0-1,28-21,0-0,,6.75,1.50,0.38,-0.123,-2.52
삼성,김재윤,1.0,7,3,3,3,1,0,1,1,1-1,31-20,0-0,,12.60,2.20,1.44,-0.709,-2.39
삼성,배찬승,0.1,2,1,0,0,0,0,1,0,0-0,6-5,0-0,,2.45,1.64,0.50,0.009,0.13
삼성,팀 합계,9.0,43,8,7,6,8,0,6,3,10-11,184-116,2-0,61,6.00,1.78,0.90,-0.557,-3.51
