팀명,타자기록1,타자기록2,타자기록3,타자기록4,타자기록5,타자기록6,수비기록1
두산,"2루타 : 강승호 (9회, 4호)","희생번트 : 박계범 (5회, 1호)","타점 : 강승호 (9회 1점, 4호)",득점권상황 : 5타수 1안타,"주루사 : 양석환 (2회, 1호)",,"실책 : 박준영 (6회, 1호)"
롯데,"2루타 : 정훈 (5회, 3호) , 한태양 (8회, 1호)","홈런 : 유강남 (4회, 1호)","희생번트 : 장두성 (6회, 4호)","타점 : 유강남 (4회 1점, 3호) , 레이예스 (5회 1점, 6호) , 김민성 (5회 2점, 3호) , 정훈 (6회 1점, 3호)",득점권상황 : 10타수 3안타,"도루성공 : 윤동희 (4회, 1호)",
