팀 이름,이름,IP,TBF,H,R,ER,BB,HBP,K,HR,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI,WPA,RE24
두산,최원준,4.2,24,7,4,4,3,0,5,1,4-5,108-70,0-0,36,5.17,1.53,0.96,-0.045,0.12
두산,박정수,0.2,5,3,2,1,0,0,0,0,0-1,19-13,3-2,,4.50,1.25,0.58,-0.115,-2.08
두산,김호준,0.2,3,0,0,0,0,0,1,0,2-0,12-7,1-1,,6.75,1.50,0.11,-0.009,-0.39
두산,박치국,1.0,3,0,0,0,0,0,2,0,1-0,15-10,0-0,,5.06,1.31,0.02,0.001,0.61
두산,이병헌,1.0,4,1,0,0,0,0,0,0,1-2,18-11,0-0,,0.00,0.60,0.02,0.000,0.61
두산,팀 합계,8.0,39,11,6,5,3,0,8,1,8-8,172-111,4-3,36,5.63,1.75,0.34,-0.168,-1.13
롯데,박세웅,7.0,25,4,0,0,1,0,9,0,4-6,95-62,0-0,77,2.50,1.17,0.86,0.324,3.27
롯데,박진,1.0,3,0,0,0,0,0,0,0,1-2,10-7,0-0,,1.35,0.90,0.07,0.006,0.61
롯데,정현수,0.2,5,3,1,1,0,0,2,0,0-0,19-13,0-0,,3.60,1.00,0.05,-0.002,-1.04
롯데,정철원,0.1,1,0,0,0,0,0,0,0,1-0,3-2,2-0,,1.59,0.71,0.15,0.005,0.65
롯데,팀 합계,9.0,34,7,1,1,1,0,11,0,6-8,127-84,2-0,77,1.00,0.89,0.28,0.333,3.49
