팀명,타자기록1,타자기록2,타자기록3,타자기록4,타자기록5,타자기록6,타자기록7,타자기록8,수비기록1
키움,"2루타 : 최주환 (1회, 2호)","홈런 : 어준서 (5회, 1호)","희생플라이 : 카디네스 (1회, 1호)","사구 : 이주형 (7회, 2호)","타점 : 카디네스 (1회 1점, 7호) , 최주환 (1회 1점, 3호) , 박주홍 (1회 1점, 1호) , 어준서 (5회 1점, 1호) , 푸이그 (7회 1점, 3호) , 카디네스 (7회 1점, 8호)",득점권상황 : 7타수 3안타,"도루성공 : 송성문 (1회, 1호)","주루사 : 여동욱 (7회, 1호)","실책 : 어준서 (5회, 1호)"
KIA,"2루타 : 이우성 (8회, 2호)","홈런 : 나성범 (1회, 1호) , 최원준 (2회, 1호) , 나성범 (3회, 2호) , 최형우 (3회, 1호) , 위즈덤 (4회, 1호)","희생번트 : 서건창 (5회, 1호)","희생플라이 : 김태군 (5회, 1호)","타점 : 나성범 (1회 2점, 3호) , 최원준 (2회 1점, 1호) , 나성범 (3회 1점, 4호) , 최형우 (3회 1점, 3호) , 위즈덤 (4회 2점, 2호) , 김태군 (5회 1점, 2호) , 김선빈 (6회 2점, 5호) , 위즈덤 (7회 1점, 3호)",득점권상황 : 15타수 5안타,"도루성공 : 박찬호 (1회, 1호) , 최원준 (4회, 1호)",,"실책 : 박찬호 (1회, 1호)"
