팀 이름,이름,IP,TBF,H,R,ER,BB,HBP,K,HR,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI,WPA,RE24
NC,최성영,1.2,11,5,5,5,2,0,0,1,2-2,52-30,0-0,23,27.00,4.20,1.48,-0.411,-3.90
NC,한재승,1.1,6,2,0,0,1,0,1,0,1-1,23-14,0-0,,0.00,2.25,0.54,0.031,0.74
NC,김태경,2.2,17,3,8,3,4,1,3,2,2-3,69-35,0-0,,7.36,2.18,0.31,-0.133,-6.29
NC,최우석,1.1,6,1,0,0,1,0,2,0,1-0,20-13,0-0,,0.00,1.50,0.01,0.000,0.74
NC,김재열,1.0,4,1,1,1,0,0,3,1,0-0,14-11,0-0,,45.00,5.00,0.00,0.000,-0.39
NC,팀 합계,8.0,44,12,14,9,8,1,9,4,6-6,178-103,0-0,23,10.13,2.50,0.47,-0.513,-9.10
삼성,최원태,5.0,25,6,4,4,3,1,4,0,2-9,83-52,0-0,40,7.20,1.80,0.93,-0.047,-0.95
삼성,이재희,1.0,6,2,0,0,1,0,2,0,0-1,20-11,0-0,,0.00,3.00,1.26,0.032,0.61
삼성,김태훈,1.0,5,2,1,1,0,0,2,0,1-0,23-16,0-0,,4.50,1.50,0.03,0.001,-0.39
삼성,이호성,1.0,3,0,0,0,0,0,2,0,1-0,15-9,0-0,,9.00,1.50,0.02,0.001,0.61
삼성,육선엽,1.0,3,0,0,0,0,0,1,0,0-2,13-9,0-0,,0.00,0.00,0.00,0.000,0.61
삼성,팀 합계,9.0,42,10,5,5,4,1,11,0,4-12,154-97,0-0,40,5.00,1.56,0.45,-0.013,0.49
