팀명,타자기록1,타자기록2,타자기록3,타자기록4,타자기록5,타자기록6,타자기록7,타자기록8,수비기록1
두산,"2루타 : 케이브 (2회, 1호)","병살타 : 이유찬 (4회, 1호)","사구 : 양석환 (2회, 1호)","타점 : 케이브 (3회 1점, 1호) , 김재환 (5회 1점, 3호) , 양의지 (5회 1점, 1호)",득점권상황 : 10타수 2안타,"도루성공 : 정수빈 (5회, 1호)","도루실패 : 강승호 (1회, 1호) , 정수빈 (6회, 1호)","주루사 : 김인태 (9회, 1호)",
KT,"2루타 : 천성호 (2회, 2호) , 배정대 (2회, 2호) , 황재균 (5회, 1호) , 김민혁 (6회, 1호)","홈런 : 강백호 (2회, 1호) , 허경민 (5회, 1호)","사구 : 천성호 (5회, 2호)","타점 : 배정대 (2회 1점, 3호) , 강백호 (2회 2점, 2호) , 허경민 (5회 1점, 2호) , 황재균 (5회 3점, 3호) , 배정대 (5회 1점, 4호)",득점권상황 : 9타수 3안타,"도루성공 : 배정대 (5회, 1호)","도루실패 : 배정대 (2회, 1호) , 천성호 (4회, 1호)",,"실책 : 허경민 (1회, 1호)"
