팀 이름,이름,IP,TBF,H,R,ER,BB,HBP,K,HR,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI,WPA,RE24
롯데,데이비슨,7.0,26,3,1,1,2,0,2,1,10-8,89-61,0-0,67,1.29,0.71,1.32,0.369,3.78
롯데,정철원,1.0,3,0,0,0,0,0,2,0,1-0,9-7,0-0,,0.00,0.00,1.86,0.141,0.68
롯데,김원중,1.0,4,1,1,1,0,0,1,1,0-2,21-13,0-0,,9.00,1.00,2.32,-0.300,-0.32
롯데,박준우,1.0,3,0,0,0,1,0,1,0,0-1,13-6,0-0,,0.00,0.86,2.09,0.137,0.68
롯데,정현수,0.0,1,0,0,0,1,0,0,0,0-0,5-1,0-0,,6.75,1.50,3.47,-0.134,-0.71
롯데,박진,1.0,4,0,0,0,1,0,0,0,2-1,18-11,1-0,,4.50,1.50,5.97,0.334,1.39
롯데,팀 합계,11.0,41,4,2,2,5,0,6,2,13-12,155-99,1-0,67,1.64,0.82,2.84,0.547,5.50
SSG,문승원,6.0,23,3,2,2,2,0,4,0,6-5,78-52,0-0,60,3.00,0.83,0.97,0.066,2.10
SSG,노경은,1.0,4,1,0,0,0,0,0,0,2-0,13-9,0-0,,0.00,1.71,1.18,0.055,0.68
SSG,한두솔,0.1,4,3,0,0,0,0,0,0,1-0,13-8,0-0,,0.00,2.00,1.44,-0.089,-1.38
SSG,김민,0.2,1,0,0,0,0,0,0,0,1-0,7-4,3-0,,0.00,1.50,2.37,0.141,2.07
SSG,이로운,1.0,5,1,0,0,1,0,1,0,1-1,22-15,0-0,,0.00,0.86,0.93,0.038,0.68
SSG,조병현,1.1,6,2,1,0,1,0,1,0,0-0,27-18,0-0,,0.00,1.09,3.03,-0.201,-0.28
SSG,서진용,0.2,2,0,0,0,1,0,0,0,1-0,7-3,1-0,,0.00,1.50,1.10,0.039,0.65
SSG,팀 합계,11.0,45,10,3,2,5,0,6,0,12-6,167-109,4-0,60,1.64,1.36,1.57,0.049,4.52
