팀 이름,이름,IP,TBF,H,R,ER,BB,HBP,K,HR,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI,WPA,RE24
키움,김윤하,5.0,27,9,8,7,2,0,3,5,6-5,93-59,0-0,20,12.60,2.20,0.67,-0.515,-5.95
키움,전준표,1.0,7,4,2,2,0,0,0,0,2-1,23-14,0-0,,18.00,4.00,0.23,-0.031,-1.39
키움,김선기,2.0,11,4,1,1,1,0,2,0,2-2,32-19,0-0,,6.00,2.33,0.10,-0.010,0.22
키움,팀 합계,8.0,45,17,11,10,3,0,5,5,10-8,148-92,0-0,20,11.25,2.50,0.33,-0.556,-7.12
KIA,올러,6.0,24,5,4,3,0,0,6,1,8-4,88-58,0-0,54,4.50,0.83,0.82,-0.062,-0.34
KIA,이준영,0.2,5,3,2,2,1,0,0,0,0-1,15-8,0-0,,13.50,3.75,0.25,-0.013,-0.91
KIA,곽도규,0.1,3,0,0,0,1,1,0,0,1-0,11-5,2-1,,27.00,4.50,1.28,0.001,-0.48
KIA,조상우,1.0,4,1,0,0,0,0,1,0,0-2,15-10,0-0,,0.00,4.00,0.32,0.012,0.61
KIA,최지민,1.0,4,1,0,0,0,0,2,0,1-0,15-10,0-0,,0.00,0.75,0.07,0.006,0.61
KIA,팀 합계,9.0,40,10,6,5,2,1,9,1,10-7,144-91,2-1,54,5.00,1.33,0.55,-0.056,-0.51
