팀명,타자기록1,타자기록2,타자기록3,타자기록4,타자기록5,타자기록6,타자기록7,타자기록8,수비기록1
롯데,"2루타 : 나승엽 (1회, 1호) , 정보근 (5회, 1호)","희생번트 : 전민재 (5회, 1호) , 장두성 (11회, 1호)","병살타 : 윤동희 (8회, 1호) , 정보근 (11회, 2호)","고의4구 : 정보근 (9회, 1호)","타점 : 레이예스 (1회 1점, 1호) , 정보근 (5회 1점, 2호) , 손호영 (11회 1점, 3호)",득점권상황 : 13타수 3안타,"도루성공 : 장두성 (9회, 1호)","주루사 : 이인한 (10회, 1호)","실책 : 데이비슨 (1회, 1호)"
SSG,"홈런 : 하재훈 (3회, 1호) , 에레디아 (9회, 1호)","희생번트 : 이지영 (7회, 2호)","타점 : 하재훈 (3회 1점, 2호) , 에레디아 (9회 1점, 2호)",득점권상황 : 7타수 0안타,"도루성공 : 최지훈 (3회, 1호)","도루실패 : 박지환 (10회, 1호)",,,"실책 : 박지환 (11회, 1호)"
