팀 이름,이름,IP,TBF,H,R,ER,BB,HBP,K,HR,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI,WPA,RE24
SSG,앤더슨,5.0,25,6,5,3,3,0,6,1,6-4,97-62,0-0,42,7.27,1.96,0.70,-0.245,-2.93
SSG,정동윤,3.0,15,5,4,4,1,0,4,0,4-1,57-37,0-0,,12.00,2.00,0.15,-0.077,-2.16
SSG,팀 합계,8.0,40,11,9,7,4,0,10,1,10-5,154-99,0-0,42,7.88,1.88,0.43,-0.322,-5.09
키움,로젠버그,7.0,25,4,2,2,1,0,9,1,3-8,106-76,0-0,69,9.00,1.60,0.60,0.174,2.30
키움,김연주,1.0,5,2,1,1,0,0,1,0,2-0,18-13,0-0,,9.00,2.75,0.08,0.002,-0.39
키움,김선기,1.0,5,1,0,0,0,0,0,0,2-0,11-8,0-0,,4.50,2.00,0.04,0.003,0.61
키움,팀 합계,9.0,35,7,3,3,1,0,10,1,7-8,135-97,0-0,69,3.00,0.89,0.24,0.179,2.52
