팀명,타자기록1,타자기록2,타자기록3,타자기록4,타자기록5,수비기록1
삼성,"2루타 : 강민호 (7회, 4호)","병살타 : 김영웅 (2회, 1호)",득점권상황 : 3타수 0안타,"도루실패 : 김성윤 (8회, 1호)","주루사 : 류지혁 (3회, 1호)",
두산,"3루타 : 강승호 (3회, 1호)","병살타 : 박준영 (4회, 1호)","타점 : 강승호 (3회 2점, 2호)",득점권상황 : 2타수 1안타,,
