팀 이름,이름,IP,TBF,H,R,ER,BB,HBP,K,HR,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI,WPA,RE24
KIA,네일,6.0,21,3,0,0,2,0,5,0,8-2,101-65,0-0,69,0.00,0.64,1.21,0.382,2.68
KIA,전상현,0.2,5,1,3,3,2,0,1,1,1-0,27-14,0-0,,10.13,1.13,1.44,-0.130,-0.93
KIA,곽도규,0.0,3,0,2,2,2,1,0,0,0-0,17-6,2-2,,27.00,4.50,4.81,-0.460,-2.37
KIA,이준영,0.1,2,1,0,0,0,0,1,0,0-0,5-5,3-2,,6.75,2.63,1.38,-0.125,-1.09
KIA,이형범,1.0,6,2,2,0,0,0,0,0,4-0,22-12,0-0,,0.00,2.00,0.10,-0.020,-1.39
KIA,팀 합계,8.0,37,7,7,5,6,1,7,1,13-2,172-102,5-4,69,5.63,1.63,1.79,-0.353,-3.10
한화,폰세,7.0,28,7,2,2,1,0,8,1,8-4,105-72,0-0,62,3.00,1.33,0.91,0.097,2.30
한화,박상원,1.0,3,0,0,0,0,0,2,0,0-1,13-7,0-0,,2.25,0.75,0.56,0.042,0.61
한화,이태양,0.0,2,1,0,0,1,0,0,0,0-0,8-4,0-0,,0.00,2.00,0.26,-0.024,-1.04
한화,김서현,1.0,4,0,0,0,1,0,1,0,0-2,15-9,2-0,,0.00,0.90,0.44,0.030,1.65
한화,팀 합계,9.0,37,8,2,2,3,0,11,1,8-7,141-92,2-0,62,2.00,1.22,0.54,0.145,3.52
