팀 이름,이름,IP,TBF,H,R,ER,BB,HBP,K,HR,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI,WPA,RE24
KT,헤이수스,7.0,25,2,0,0,0,0,8,0,10-5,91-66,0-0,81,0.69,0.46,1.02,0.484,4.29
KT,우규민,0.1,2,1,0,0,0,0,0,0,0-0,7-5,0-0,,0.00,0.60,3.21,-0.056,-0.24
KT,김민수,0.2,2,0,0,0,0,0,0,0,2-0,8-6,1-0,,3.86,1.50,3.80,0.197,0.85
KT,박영현,1.0,5,1,0,0,1,0,1,0,0-2,24-14,0-0,,4.15,1.85,1.73,0.091,0.61
KT,팀 합계,9.0,34,4,0,0,1,0,9,0,12-7,130-91,1-0,81,0.00,0.56,2.44,0.716,5.51
롯데,반즈,7.0,28,5,1,1,2,0,5,0,8-8,101-63,0-0,66,7.20,1.70,1.10,0.236,3.29
롯데,박진,1.0,3,0,0,0,0,0,2,0,0-1,15-9,0-0,,2.70,1.20,0.68,0.052,0.61
롯데,정철원,0.2,4,2,1,1,0,0,1,0,1-0,18-11,0-0,,3.38,0.75,0.73,-0.086,-0.83
롯데,김강현,0.0,1,0,0,0,1,0,0,0,0-0,4-0,1-0,,0.00,2.50,0.54,-0.003,-0.09
롯데,정현수,0.1,1,0,0,0,0,0,0,0,0-1,3-1,2-0,,3.86,0.86,0.62,0.017,0.53
롯데,팀 합계,9.0,37,7,2,2,3,0,8,0,9-10,141-84,3-0,66,2.00,1.11,0.73,0.216,3.51
