팀 이름,이름,IP,TBF,H,R,ER,BB,HBP,K,HR,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI,WPA,RE24
LG,치리노스,6.0,25,6,2,2,1,1,5,0,6-4,93-68,0-0,56,3.00,1.25,1.39,0.086,1.68
LG,김진성,0.1,5,2,2,2,2,0,1,0,0-0,24-12,0-0,,5.40,1.80,3.31,-0.430,-2.56
LG,백승현,0.2,3,0,0,0,1,0,2,0,0-0,14-9,2-0,,13.50,6.00,3.55,0.145,1.18
LG,이지강,2.0,6,1,0,0,0,0,2,0,0-3,26-15,0-0,,0.00,0.50,2.05,0.159,1.23
LG,팀 합계,9.0,39,9,4,4,4,1,10,0,6-7,157-104,2-0,56,4.00,1.44,2.58,-0.040,1.53
NC,로건,6.0,28,6,2,2,2,1,5,1,8-5,106-72,0-0,55,2.25,1.08,1.18,0.086,1.68
NC,김민규,0.1,4,2,2,2,1,0,0,0,1-0,13-9,0-0,,11.57,2.14,2.34,-0.234,-1.56
NC,한재승,0.2,4,1,1,1,2,0,1,0,0-0,18-7,2-1,,4.50,3.00,2.14,-0.218,0.14
NC,김재열,1.0,5,0,0,0,2,0,1,0,0-1,22-9,2-1,,15.00,2.67,3.48,-0.029,0.65
NC,류진욱,1.0,6,2,3,1,1,0,1,0,1-0,22-13,0-0,,12.00,2.00,0.61,-0.144,-2.39
NC,팀 합계,9.0,47,11,8,6,8,1,8,1,10-6,181-110,4-2,55,6.00,2.11,1.95,-0.539,-1.48
