팀명,타자기록1,타자기록2,타자기록3,타자기록4,타자기록5,수비기록1
SSG,"2루타 : 오태곤 (8회, 1호)","홈런 : 박성한 (4회, 1호)","타점 : 박성한 (4회 1점, 3호) , 에레디아 (6회 1점, 5호) , 오태곤 (8회 1점, 3호)",득점권상황 : 5타수 1안타,"주루사 : 에레디아 (6회, 1호)","실책 : 박지환 (5회, 1호) , 박성한 (5회, 1호) , 최지훈 (6회, 1호) , 정동윤 (8회, 1호)"
키움,"2루타 : 송성문 (1회, 2호) , 전태현 (2회, 2호) , 김태진 (6회, 1호) , 푸이그 (6회, 1호) , 송성문 (6회, 3호) , 최주환 (6회, 6호)","홈런 : 푸이그 (1회, 2호)","희생플라이 : 어준서 (2회, 1호)","타점 : 푸이그 (1회 1점, 5호) , 어준서 (2회 1점, 3호) , 카디네스 (5회 1점, 14호) , 푸이그 (6회 1점, 6호) , 송성문 (6회 2점, 4호) , 최주환 (6회 1점, 8호)",득점권상황 : 15타수 5안타,"실책 : 김태진 (9회, 1호)"
