팀명,타자기록1,타자기록2,타자기록3,타자기록4,타자기록5,타자기록6,타자기록7,타자기록8,타자기록9,수비기록1
LG,"2루타 : 송찬의 (1회, 4호) , 박동원 (3회, 1호)","홈런 : 오스틴 (3회, 2호)","희생번트 : 홍창기 (8회, 1호) , 오지환 (9회, 2호)","병살타 : 홍창기 (9회, 1호)","사구 : 홍창기 (4회, 3호)","고의4구 : 오스틴 (4회, 1호) , 문보경 (7회, 2호) , 오스틴 (8회, 2호)","타점 : 신민재 (2회 1점, 3호) , 오스틴 (3회 1점, 4호) , 박동원 (7회 1점, 4호) , 오지환 (7회 1점, 2호) , 신민재 (9회 2점, 5호)",득점권상황 : 16타수 4안타,"주루사 : 문보경 (3회, 1호) , 박동원 (7회, 2호)",
NC,"2루타 : 손아섭 (3회, 1호)","병살타 : 도태훈 (6회, 1호)","사구 : 권희동 (1회, 4호)","타점 : 데이비슨 (1회 1점, 9호) , 김형준 (6회 1점, 2호) , 손아섭 (7회 2점, 4호)",득점권상황 : 13타수 3안타,"도루성공 : 도태훈 (8회, 1호)","주루사 : 도태훈 (8회, 1호)",,,"실책 : 도태훈 (3회, 1호) , 류진욱 (9회, 1호)"
