팀명,타자기록1,타자기록2,타자기록3,타자기록4,타자기록5,타자기록6,타자기록7,타자기록8,타자기록9,수비기록1
KIA,"2루타 : 최형우 (4회, 3호)","홈런 : 위즈덤 (7회, 2호)","희생플라이 : 위즈덤 (4회, 1호)","병살타 : 나성범 (1회, 2호)","타점 : 위즈덤 (4회 1점, 4호) , 위즈덤 (7회 1점, 5호)",득점권상황 : 4타수 0안타,"주루사 : 이우성 (2회, 2호)",,,"실책 : 김규성 (8회, 1호)"
한화,"2루타 : 플로리얼 (7회, 1호)","3루타 : 이도윤 (8회, 1호)","홈런 : 김태연 (7회, 1호)","병살타 : 김태연 (4회, 1호)","사구 : 최인호 (7회, 1호)","타점 : 김태연 (7회 1점, 2호) , 황영묵 (7회 1점, 2호) , 최인호 (7회 1점, 1호) , 플로리얼 (7회 2점, 4호) , 이도윤 (8회 1점, 1호)",득점권상황 : 8타수 2안타,"도루성공 : 심우준 (3회, 2호) , 플로리얼 (4회, 1호) , 이원석 (7회, 2호)","도루실패 : 최재훈 (5회, 1호)","실책 : 노시환 (3회, 1호)"
