팀 이름,이름,IP,TBF,H,R,ER,BB,HBP,K,HR,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI,WPA,RE24
롯데,나균안,5.1,24,5,2,2,2,0,6,0,7-3,98-60,0-0,54,3.60,1.40,1.17,0.180,2.36
롯데,송재영,0.0,1,1,0,0,0,0,0,0,0-0,3-3,2-1,,0.00,1.33,2.91,-0.192,-1.27
롯데,박진,1.2,5,0,0,0,1,0,1,0,1-1,23-13,2-1,,1.59,1.06,1.92,0.135,1.18
롯데,정철원,1.0,3,0,0,0,0,0,1,0,1-1,10-6,0-0,,1.69,0.75,1.86,0.141,0.61
롯데,김원중,1.0,6,1,0,0,2,0,1,0,2-0,20-11,0-0,,1.59,1.94,3.68,0.091,0.61
롯데,팀 합계,9.0,39,7,2,2,5,0,9,0,11-5,154-93,4-2,54,2.00,1.33,2.31,0.355,3.49
한화,폰세,7.0,28,5,2,2,2,0,10,0,5-5,96-63,0-0,67,2.84,1.21,1.22,0.123,2.27
한화,박상원,1.0,5,2,1,1,0,0,0,0,3-0,13-9,0-0,,3.60,1.00,1.65,-0.196,-0.39
한화,한승혁,1.0,6,3,1,1,0,0,0,0,3-0,16-12,0-0,,8.31,2.08,0.59,-0.071,-0.39
한화,팀 합계,9.0,39,10,4,4,2,0,10,0,11-5,125-84,0-0,67,4.00,1.33,1.15,-0.144,1.49
