팀명,타자기록1,타자기록2,타자기록3,타자기록4,타자기록5,타자기록6,타자기록7,타자기록8,수비기록1
LG,"2루타 : 박동원 (2회, 2호) , 오지환 (8회, 3호)","홈런 : 오스틴 (5회, 5호)","희생번트 : 구본혁 (8회, 2호)","병살타 : 문보경 (9회, 2호)","타점 : 박동원 (2회 1점, 5호) , 홍창기 (2회 1점, 4호) , 오스틴 (5회 1점, 10호) , 김현수 (8회 2점, 5호)",득점권상황 : 8타수 2안타,"도루성공 : 박해민 (2회, 3호) , 홍창기 (2회, 1호) , 최원영 (8회, 2호)","도루실패 : 최원영 (8회, 1호)",
KT,"2루타 : 강백호 (5회, 3호)","3루타 : 권동진 (5회, 1호)","병살타 : 김민혁 (1회, 2호) , 로하스 (3회, 2호)","타점 : 강백호 (5회 1점, 4호)",득점권상황 : 7타수 1안타,,,,"실책 : 천성호 (2회, 1호) , 권동진 (9회, 1호)"
