팀 이름,이름,IP,TBF,H,R,ER,BB,HBP,K,HR,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI,WPA,RE24
키움,로젠버그,6.0,25,5,4,1,2,0,6,2,8-4,91-59,0-0,56,6.19,1.44,0.54,-0.197,-0.34
키움,이강준,0.1,3,1,1,0,0,0,1,0,1-0,13-9,0-0,,5.40,1.80,0.27,-0.029,-1.00
키움,조영건,1.2,8,2,1,1,1,0,2,0,0-3,29-20,1-0,,6.35,1.76,0.08,0.001,0.22
키움,팀 합계,8.0,36,8,6,2,3,0,9,2,9-7,133-88,1-0,56,2.25,1.38,0.30,-0.225,-1.12
두산,콜어빈,6.0,23,5,1,1,1,0,6,0,3-7,88-60,0-0,63,2.50,1.06,0.74,0.199,1.78
두산,박정수,1.0,4,1,0,0,0,0,2,0,1-0,13-10,1-1,,2.70,0.60,1.16,0.047,0.49
두산,박치국,1.0,4,1,0,0,0,0,1,0,2-0,14-10,0-0,,6.23,1.62,0.44,0.023,0.61
두산,김유성,0.0,2,0,0,0,2,0,0,0,0-0,12-4,0-0,,7.20,1.80,0.26,-0.024,-1.04
두산,김호준,1.0,2,0,0,0,0,0,0,0,1-1,6-4,2-0,,9.00,2.00,0.40,0.030,1.65
두산,팀 합계,9.0,35,7,1,1,3,0,9,0,7-8,133-88,3-1,63,1.00,1.11,0.60,0.275,3.49
