팀 이름,이름,IP,TBF,H,R,ER,BB,HBP,K,HR,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI,WPA,RE24
LG,임찬규,5.2,25,7,1,1,3,0,5,0,7-3,96-56,0-0,53,0.61,0.95,1.15,0.195,2.12
LG,김진성,1.0,3,0,0,0,0,0,1,0,1-0,17-11,2-0,,4.15,1.38,1.73,0.132,1.03
LG,백승현,1.0,5,0,0,0,2,0,1,0,2-0,20-11,0-0,,5.40,3.60,0.70,0.019,0.19
LG,박명근,1.1,4,0,0,0,0,0,0,0,2-1,14-11,2-0,,0.00,0.60,0.41,0.043,1.15
LG,팀 합계,9.0,37,7,1,1,5,0,7,0,12-4,147-89,4-0,53,1.00,1.33,1.00,0.389,4.49
KT,헤이수스,6.0,28,6,3,1,3,0,4,1,9-4,104-73,0-0,53,0.95,0.79,0.92,-0.058,0.66
KT,우규민,1.1,8,3,2,2,0,0,1,0,2-1,20-16,0-0,,4.26,1.11,0.59,-0.065,-1.39
KT,최동환,0.2,1,0,0,0,0,0,0,0,0-1,3-3,1-0,,0.00,1.20,0.15,0.008,0.61
KT,주권,1.0,3,0,0,0,0,0,0,0,3-0,12-7,0-0,,0.00,0.00,0.06,0.004,0.61
KT,팀 합계,9.0,40,9,5,3,3,0,5,1,14-6,139-99,1-0,53,3.00,1.33,0.43,-0.111,0.49
