팀명,타자기록1,타자기록2,타자기록3,타자기록4,타자기록5,타자기록6,수비기록1
키움,"2루타 : 이주형 (8회, 3호)","3루타 : 최주환 (7회, 1호)","병살타 : 이형종 (2회, 1호) , 강진성 (9회, 1호)","타점 : 김동헌 (7회 1점, 2호)",득점권상황 : 7타수 1안타,,"실책 : 김태진 (1회, 1호) , 이승원 (2회, 1호) , 전태현 (7회, 1호)"
두산,"2루타 : 양석환 (8회, 1호)","홈런 : 양의지 (1회, 1호) , 양석환 (4회, 2호)","병살타 : 추재현 (2회, 1호) , 박계범 (6회, 1호)","타점 : 양의지 (1회 3점, 6호) , 양석환 (4회 1점, 3호) , 정수빈 (7회 1점, 2호) , 김인태 (8회 1점, 1호)",득점권상황 : 7타수 3안타,"도루성공 : 강승호 (1회, 1호) , 정수빈 (7회, 2호)",
