팀명,타자기록1,타자기록2,타자기록3,타자기록4,타자기록5,타자기록6,수비기록1
롯데,"2루타 : 이호준 (5회, 1호) , 레이예스 (6회, 2호) , 레이예스 (8회, 3호)","3루타 : 이호준 (9회, 2호)","희생번트 : 전민재 (7회, 3호)","희생플라이 : 전준우 (5회, 2호)","타점 : 정보근 (5회 1점, 5호) , 전준우 (5회 1점, 3호) , 레이예스 (8회 1점, 5호) , 정보근 (9회 1점, 6호)",득점권상황 : 13타수 1안타,"실책 : 이호준 (4회, 1호)"
한화,"2루타 : 황영묵 (3회, 4호) , 이진영 (6회, 1호)","고의4구 : 안치홍 (9회, 1호)","타점 : 이진영 (6회 1점, 1호) , 문현빈 (6회 1점, 1호)",득점권상황 : 9타수 1안타,"주루사 : 황영묵 (7회, 1호)",,
