팀명,타자기록1,타자기록2,타자기록3,타자기록4,타자기록5,타자기록6,타자기록7,타자기록8,수비기록1
KIA,"2루타 : 한준수 (2회, 2호)","홈런 : 최형우 (1회, 2호) , 위즈덤 (1회, 3호)","희생플라이 : 한준수 (3회, 1호)","병살타 : 최형우 (7회, 2호) , 이우성 (8회, 1호)","타점 : 최형우 (1회 2점, 7호) , 위즈덤 (1회 1점, 6호) , 한준수 (3회 1점, 5호)",득점권상황 : 5타수 1안타,"주루사 : 한준수 (2회, 1호)",,"실책 : 양현종 (3회, 1호)"
한화,"2루타 : 황영묵 (3회, 2호) , 채은성 (3회, 3호)","희생번트 : 심우준 (3회, 1호)","병살타 : 이원석 (2회, 1호)","사구 : 채은성 (2회, 1호)","타점 : 황영묵 (3회 1점, 3호) , 김태연 (3회 1점, 3호) , 채은성 (3회 1점, 1호) , 안치홍 (8회 2점, 2호)",득점권상황 : 10타수 3안타,"도루성공 : 최인호 (8회, 1호)","주루사 : 임종찬 (8회, 1호)",
