팀명,타자기록1,타자기록2,타자기록3,타자기록4,타자기록5,수비기록1
KT,"병살타 : 로하스 (1회, 1호) , 허경민 (7회, 1호)","타점 : 김민혁 (3회 1점, 3호)",득점권상황 : 5타수 1안타,,,
롯데,"2루타 : 정훈 (5회, 1호) , 전준우 (5회, 1호) , 나승엽 (6회, 2호)","홈런 : 나승엽 (2회, 1호)","희생번트 : 장두성 (3회, 2호) , 장두성 (7회, 3호)","타점 : 나승엽 (2회 1점, 1호) , 전준우 (5회 1점, 1호) , 김민성 (5회 1점, 1호)",득점권상황 : 12타수 2안타,"실책 : 한태양 (4회, 1호)"
