팀명,타자기록1,타자기록2,타자기록3,타자기록4,타자기록5,타자기록6,타자기록7,수비기록1
SSG,"2루타 : 정현승 (5회, 1호)","3루타 : 정준재 (3회, 1호)","병살타 : 고명준 (9회, 2호)","타점 : 고명준 (1회 1점, 2호)",득점권상황 : 9타수 1안타,,,"실책 : 하재훈 (4회, 1호)"
키움,"홈런 : 카디네스 (4회, 3호) , 최주환 (8회, 1호)","병살타 : 박주홍 (2회, 1호)","사구 : 푸이그 (5회, 2호)","타점 : 카디네스 (4회 1점, 15호) , 카디네스 (5회 1점, 16호) , 최주환 (8회 1점, 9호)",득점권상황 : 11타수 1안타,"도루성공 : 박주홍 (6회, 1호)","주루사 : 송성문 (4회, 1호)",
