팀명,타자기록1,타자기록2,타자기록3,타자기록4,타자기록5,타자기록6,수비기록1
삼성,"2루타 : 김지찬 (9회, 2호)","3루타 : 김성윤 (8회, 1호)","희생번트 : 김성윤 (7회, 1호)","타점 : 김헌곤 (7회 1점, 2호) , 류지혁 (7회 1점, 6호) , 김지찬 (7회 1점, 1호) , 디아즈 (7회 1점, 6호) , 김영웅 (7회 1점, 8호) , 김성윤 (8회 1점, 1호) , 이재현 (8회 1점, 6호) , 김성윤 (9회 1점, 2호) , 김지찬 (9회 1점, 2호)",득점권상황 : 14타수 9안타,"도루실패 : 김영웅 (2회, 1호)","실책 : 박병호 (1회, 1호)"
두산,"2루타 : 김재환 (4회, 2호)","희생플라이 : 양의지 (4회, 1호)","병살타 : 김민석 (5회, 1호)","타점 : 케이브 (4회 1점, 3호) , 양의지 (4회 1점, 3호)",득점권상황 : 1타수 1안타,,"실책 : 김민석 (7회, 1호) , 전다민 (9회, 1호)"
