팀 이름,이름,IP,TBF,H,R,ER,BB,HBP,K,HR,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI,WPA,RE24
삼성,원태인,5.0,19,3,2,2,1,0,4,0,5-5,78-54,0-0,56,3.60,0.80,0.92,-0.009,1.06
삼성,배찬승,0.2,3,0,0,0,1,0,1,0,0-1,15-10,0-0,,3.86,2.14,0.38,0.015,0.36
삼성,김태훈,1.1,4,0,0,0,0,0,1,0,1-1,14-9,1-0,,1.93,1.07,0.23,0.025,0.86
삼성,백정현,2.0,6,0,0,0,0,0,2,0,3-0,19-13,0-0,,3.86,0.64,0.01,0.002,1.22
삼성,팀 합계,9.0,32,3,2,2,2,0,8,0,9-7,126-86,1-0,56,2.00,0.56,0.39,0.033,3.50
두산,잭로그,6.0,25,5,4,4,3,0,8,0,4-5,102-68,0-0,51,6.00,1.42,1.18,-0.192,0.26
두산,박정수,0.1,2,1,1,1,0,0,0,0,0-0,4-2,2-1,,3.86,0.43,1.98,-0.078,-0.55
두산,김호준,0.0,1,1,1,0,0,0,0,0,0-0,3-2,2-1,,18.00,4.00,1.66,-0.076,-0.73
두산,박신지,0.0,1,0,1,0,1,0,0,0,0-0,5-1,2-1,,0.00,1.50,0.90,-0.045,-0.87
두산,김정우,0.2,5,2,1,0,0,0,1,0,2-0,17-11,2-2,,0.00,1.29,0.38,-0.070,-1.82
두산,김명신,1.0,6,3,2,2,0,0,0,0,3-0,27-18,0-0,,18.00,3.00,0.02,-0.006,-1.39
두산,박치국,1.0,7,3,3,2,1,0,0,0,1-2,31-18,0-0,,8.10,1.80,0.00,0.000,-2.39
두산,팀 합계,9.0,47,15,13,9,5,0,9,0,10-7,189-120,8-5,51,9.00,2.22,0.87,-0.467,-7.49
