팀 이름,이름,IP,TBF,H,R,ER,BB,HBP,K,HR,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI,WPA,RE24
NC,로건,6.1,27,5,4,4,4,0,7,0,4-5,115-68,0-0,50,3.44,1.20,1.00,0.098,1.22
NC,김진호,0.1,3,1,1,1,1,0,0,1,1-0,10-4,3-3,,3.00,1.67,0.68,-0.120,-2.19
NC,김시훈,1.1,5,1,0,0,0,0,2,0,1-1,15-9,1-0,,0.00,0.75,0.03,0.003,0.86
NC,팀 합계,8.0,35,7,5,5,5,0,9,1,6-6,140-81,4-3,50,5.63,1.50,0.57,-0.019,-0.11
키움,하영민,6.0,24,3,0,0,3,0,7,0,7-3,95-55,0-0,70,2.81,1.25,1.32,0.367,3.66
키움,원종현,1.0,3,0,0,0,0,0,1,0,0-2,11-6,0-0,,12.00,1.67,1.26,0.096,0.61
키움,김성민,1.0,3,0,0,0,0,0,2,0,0-1,8-7,0-0,,0.00,1.20,0.16,0.012,0.61
키움,이강준,0.2,5,3,1,1,0,0,0,0,1-1,16-12,0-0,,6.75,2.25,0.08,-0.005,-0.93
키움,주승우,0.1,2,0,0,0,1,0,0,0,1-0,9-5,2-0,,0.00,1.71,0.90,0.011,0.54
키움,팀 합계,9.0,37,6,1,1,4,0,10,0,9-7,139-85,2-0,70,1.00,1.11,0.74,0.481,4.49
