팀명,타자기록1,타자기록2,타자기록3,타자기록4,타자기록5,타자기록6,타자기록7,타자기록8,수비기록1
두산,"2루타 : 박계범 (5회, 1호) , 박준영 (5회, 2호) , 이유찬 (6회, 1호) , 김인태 (7회, 1호) , 양의지 (8회, 1호) , 양석환 (9회, 2호)","3루타 : 이유찬 (7회, 1호)","홈런 : 김인태 (8회, 1호)","병살타 : 이유찬 (3회, 2호)","사구 : 양석환 (2회, 2호)","타점 : 박준영 (5회 1점, 2호) , 양의지 (6회 1점, 7호) , 이유찬 (7회 2점, 4호) , 김인태 (7회 1점, 2호) , 박계범 (7회 1점, 1호) , 양의지 (8회 2점, 9호) , 김인태 (8회 2점, 4호) , 양석환 (9회 1점, 4호)",득점권상황 : 22타수 11안타,"도루성공 : 조수행 (8회, 1호) , 이유찬 (8회, 2호)",
롯데,"2루타 : 윤동희 (1회, 1호) , 유강남 (1회, 2호) , 전민재 (4회, 2호) , 전민재 (7회, 3호)","타점 : 윤동희 (1회 1점, 2호) , 유강남 (1회 2점, 2호)",득점권상황 : 13타수 2안타,"도루성공 : 전민재 (2회, 1호) , 레이예스 (5회, 1호)","도루실패 : 강성우 (6회, 1호)",,,,"실책 : 정보근 (7회, 1호) , 이호준 (7회, 1호) , 이호준 (8회, 2호)"
