팀명,타자기록1,타자기록2,타자기록3,타자기록4,타자기록5,타자기록6,수비기록1
KIA,"2루타 : 최형우 (3회, 4호) , 최형우 (7회, 5호)","타점 : 변우혁 (1회 2점, 7호)",득점권상황 : 10타수 1안타,"주루사 : 최형우 (7회, 1호)",,,
LG,"2루타 : 문보경 (1회, 2호) , 오스틴 (3회, 2호) , 오스틴 (5회, 3호) , 문보경 (7회, 3호)","희생플라이 : 문보경 (5회, 2호)","병살타 : 박해민 (7회, 1호)","타점 : 문보경 (1회 1점, 11호) , 김현수 (1회 1점, 6호) , 김현수 (3회 1점, 7호) , 문보경 (5회 1점, 12호) , 문보경 (7회 2점, 14호) , 김현수 (7회 1점, 8호)",득점권상황 : 9타수 4안타,"도루성공 : 오지환 (6회, 2호)",
