팀명,타자기록1,타자기록2,타자기록3,타자기록4,타자기록5,타자기록6,타자기록7,타자기록8,수비기록1
KT,"2루타 : 강백호 (1회, 4호)","희생번트 : 권동진 (10회, 1호)","병살타 : 김민혁 (8회, 3호)","고의4구 : 김민혁 (10회, 1호)","타점 : 허경민 (1회 1점, 5호)",득점권상황 : 9타수 0안타,"도루성공 : 배정대 (8회, 2호)","주루사 : 허경민 (3회, 1호)",
SSG,"2루타 : 박성한 (9회, 2호)","희생번트 : 최지훈 (4회, 1호)","고의4구 : 박성한 (11회, 1호)","타점 : 박성한 (3회 2점, 6호) , 오태곤 (11회 1점, 5호)",득점권상황 : 19타수 3안타,"도루성공 : 정준재 (3회, 2호) , 박성한 (7회, 1호) , 안상현 (11회, 2호)",,,"실책 : 이지영 (7회, 1호) , 최지훈 (8회, 1호)"
