팀명,타자기록1,타자기록2,타자기록3,타자기록4,타자기록5,타자기록6,수비기록1
NC,"2루타 : 데이비슨 (6회, 3호)","희생번트 : 도태훈 (5회, 1호)","타점 : 한재환 (9회 1점, 4호)",득점권상황 : 8타수 1안타,,,
키움,"2루타 : 푸이그 (1회, 2호)","홈런 : 푸이그 (7회, 3호)","희생번트 : 전태현 (2회, 2호) , 오선진 (5회, 1호)","병살타 : 김태진 (2회, 2호)","타점 : 강진성 (2회 1점, 1호) , 푸이그 (7회 4점, 10호)",득점권상황 : 9타수 3안타,
