팀 이름,이름,IP,TBF,H,R,ER,BB,HBP,K,HR,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI,WPA,RE24
한화,와이스,4.2,26,7,5,5,4,1,4,2,2-7,104-65,0-0,30,6.89,1.72,0.68,-0.212,-2.49
한화,권민규,1.0,4,0,0,0,1,0,1,0,2-0,17-11,2-0,,0.00,1.38,0.20,0.010,1.03
한화,이태양,1.0,4,1,0,0,0,0,1,0,1-1,10-8,0-0,,4.15,1.85,0.06,0.004,0.61
한화,정우주,1.0,4,1,0,0,0,0,2,0,1-0,20-15,0-0,,9.00,1.25,0.02,0.001,0.35
한화,김서현,0.1,1,0,0,0,0,0,0,0,1-0,6-3,1-0,,0.00,0.86,0.03,0.001,0.38
한화,팀 합계,8.0,39,9,5,5,5,1,8,2,7-8,157-102,3-0,30,5.63,1.75,0.20,-0.196,-0.12
삼성,원태인,7.0,23,2,0,0,0,0,5,0,5-10,83-65,0-0,78,1.50,0.50,0.58,0.286,4.27
삼성,김태훈,1.0,4,0,0,0,0,0,3,0,1-0,17-12,0-0,,1.59,0.88,0.15,0.012,0.61
삼성,송은범,1.0,4,1,0,0,0,0,0,0,2-0,9-7,0-0,,1.69,1.69,0.07,0.006,0.61
삼성,팀 합계,9.0,31,3,0,0,0,0,8,0,8-10,109-84,0-0,78,0.00,0.33,0.27,0.304,5.49
