팀,승,무,패,승률,순위
KIA,4,0,8,0.375,7
삼성,8,0,5,0.625,2
LG,10,0,1,1.0,1
두산,6,0,7,0.25,10
KT,5,1,6,0.571,4
SSG,7,0,3,0.625,2
롯데,5,1,7,0.286,9
한화,4,0,9,0.375,7
NC,5,0,5,0.429,6
키움,5,0,8,0.5,5
