팀명,타자기록1,타자기록2,타자기록3,타자기록4,타자기록5,타자기록6,수비기록1
LG,"2루타 : 김현수 (7회, 2호) , 박동원 (7회, 3호)","홈런 : 송찬의 (2회, 2호)","병살타 : 오스틴 (6회, 2호) , 박동원 (9회, 1호)","타점 : 송찬의 (2회 3점, 5호) , 문보경 (3회 1점, 18호) , 송찬의 (3회 1점, 6호) , 구본혁 (3회 1점, 4호) , 박동원 (7회 1점, 8호)",득점권상황 : 11타수 4안타,"도루성공 : 박동원 (7회, 1호)",
키움,"2루타 : 전태현 (9회, 3호)","홈런 : 김건희 (6회, 1호)","병살타 : 김웅빈 (9회, 1호)","타점 : 김건희 (6회 1점, 2호) , 임병욱 (9회 1점, 1호)",득점권상황 : 5타수 2안타,"도루성공 : 송성문 (6회, 3호)",
