팀명,타자기록1,타자기록2,타자기록3,타자기록4,타자기록5,타자기록6,수비기록1
NC,"2루타 : 데이비슨 (2회, 4호) , 김주원 (8회, 2호)","홈런 : 김주원 (4회, 2호) , 박한결 (5회, 1호) , 데이비슨 (8회, 4호)","희생플라이 : 김형준 (7회, 1호)","타점 : 김휘집 (2회 1점, 5호) , 김주원 (4회 1점, 9호) , 박한결 (5회 1점, 1호) , 김형준 (7회 1점, 9호) , 손아섭 (8회 1점, 8호) , 데이비슨 (8회 2점, 14호)",득점권상황 : 3타수 1안타,"도루실패 : 손아섭 (4회, 1호) , 김성욱 (5회, 1호)","실책 : 김휘집 (2회, 1호) , 김주원 (9회, 1호)"
KT,"사구 : 허경민 (4회, 1호)",득점권상황 : 5타수 0안타,"도루성공 : 유준규 (5회, 1호)",,,,"실책 : 강백호 (7회, 1호)"
