팀명,타자기록1,타자기록2,타자기록3,타자기록4,타자기록5,타자기록6,수비기록1
SSG,"2루타 : 고명준 (2회, 1호) , 이지영 (4회, 2호) , 오태곤 (9회, 2호)","희생번트 : 정준재 (3회, 2호) , 박지환 (9회, 1호)","병살타 : 박지환 (6회, 1호)","고의4구 : 에레디아 (9회, 2호)","타점 : 이지영 (2회 1점, 2호) , 최지훈 (9회 1점, 6호)",득점권상황 : 12타수 0안타,
삼성,"2루타 : 구자욱 (2회, 3호) , 이재현 (8회, 4호) , 디아즈 (9회, 4호)","사구 : 류지혁 (4회, 2호) , 김성윤 (10회, 1호)","고의4구 : 구자욱 (9회, 3호)","타점 : 이재현 (8회 1점, 11호) , 디아즈 (9회 1점, 12호) , 양도근 (10회 1점, 1호)",득점권상황 : 7타수 1안타,"도루실패 : 김헌곤 (3회, 1호)",
