팀 이름,이름,IP,TBF,H,R,ER,BB,HBP,K,HR,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI,WPA,RE24
SSG,김광현,6.0,21,2,0,0,1,1,8,0,4-4,100-60,0-0,75,2.08,1.25,1.18,0.390,3.64
SSG,김민,1.0,3,0,0,0,0,0,0,0,3-0,11-5,0-0,,0.00,1.29,1.42,0.108,0.61
SSG,노경은,1.0,5,2,1,1,0,0,0,0,3-0,11-8,0-0,,1.93,1.07,2.59,-0.196,-0.39
SSG,조병현,1.0,6,2,1,1,1,0,2,0,0-1,28-17,0-0,,1.04,1.62,3.77,-0.300,-0.39
SSG,김건우,0.2,5,1,1,1,1,1,2,0,0-0,26-13,0-0,,7.04,1.70,3.41,-0.363,0.61
SSG,팀 합계,9.2,40,7,3,3,3,2,12,0,10-5,176-103,0-0,75,2.79,1.03,2.47,-0.361,4.08
삼성,원태인,5.0,23,7,1,1,1,0,5,0,7-2,103-68,0-0,53,1.59,0.82,1.24,0.139,2.04
삼성,김태훈,1.0,4,2,0,0,0,0,0,0,1-1,6-5,0-0,,1.13,0.88,1.26,0.055,0.61
삼성,배찬승,1.0,3,0,0,0,0,0,0,0,2-1,15-11,0-0,,1.59,1.06,0.73,0.055,0.61
삼성,백정현,1.1,6,2,1,1,0,0,0,0,3-0,20-13,0-0,,2.89,0.54,1.32,-0.120,0.21
삼성,임창민,0.2,5,0,0,0,2,0,1,0,2-0,19-11,1-1,,5.06,1.88,1.90,-0.128,0.00
삼성,김재윤,1.0,3,0,0,0,0,0,0,0,1-2,16-12,0-0,,9.00,1.71,1.81,0.137,0.61
삼성,팀 합계,10.0,44,11,2,2,3,0,6,0,16-6,179-120,1-1,53,1.80,1.40,1.38,0.138,4.08
