팀명,타자기록1,타자기록2,타자기록3,타자기록4,타자기록5,타자기록6,타자기록7,타자기록8,수비기록1
KIA,"2루타 : 이우성 (2회, 5호) , 이우성 (4회, 6호) , 박재현 (5회, 1호)","병살타 : 박찬호 (5회, 1호)","타점 : 이우성 (4회 2점, 6호) , 나성범 (5회 1점, 12호)",득점권상황 : 8타수 2안타,,,,,"실책 : 이우성 (8회, 1호)"
롯데,"2루타 : 나승엽 (6회, 4호) , 레이예스 (7회, 5호) , 정훈 (8회, 5호)","홈런 : 나승엽 (2회, 3호)","희생플라이 : 레이예스 (2회, 3호)","사구 : 김민성 (2회, 1호)","타점 : 나승엽 (2회 3점, 5호) , 황성빈 (2회 1점, 1호) , 전준우 (2회 1점, 6호) , 레이예스 (2회 1점, 12호) , 황성빈 (8회 1점, 2호)",득점권상황 : 13타수 5안타,"도루성공 : 황성빈 (8회, 3호)","주루사 : 나승엽 (6회, 1호)",
