팀명,타자기록1,타자기록2,타자기록3,타자기록4,타자기록5,수비기록1
한화,"2루타 : 채은성 (4회, 5호) , 문현빈 (9회, 3호)","병살타 : 플로리얼 (3회, 2호) , 이원석 (7회, 2호)","타점 : 김태연 (6회 2점, 5호) , 이재원 (6회 2점, 2호) , 김태연 (7회 1점, 6호)",득점권상황 : 11타수 4안타,"도루성공 : 문현빈 (6회, 1호) , 플로리얼 (6회, 3호) , 문현빈 (6회, 2호) , 노시환 (6회, 3호) , 이원석 (6회, 3호)",
두산,"2루타 : 케이브 (4회, 4호)","홈런 : 추재현 (8회, 1호)","타점 : 추재현 (8회 2점, 3호)",득점권상황 : 3타수 0안타,,
