팀 이름,이름,IP,TBF,H,R,ER,BB,HBP,K,HR,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI,WPA,RE24
한화,와이스,7.2,27,4,2,2,0,0,7,1,10-6,94-70,0-0,70,5.40,1.33,0.65,0.306,2.73
한화,김범수,0.2,2,0,0,0,0,0,2,0,0-0,13-8,0-0,,0.00,0.86,0.14,0.007,0.41
한화,김종수,0.2,3,0,0,0,1,0,1,0,0-1,13-6,0-0,,0.96,1.29,0.11,0.003,0.32
한화,팀 합계,9.0,32,4,2,2,1,0,10,1,10-7,120-84,0-0,70,2.00,0.56,0.30,0.316,3.46
두산,잭로그,5.2,24,6,4,4,2,0,7,0,6-3,97-69,0-0,46,5.70,1.44,1.23,-0.074,0.39
두산,이영하,0.0,2,2,1,1,0,0,0,0,0-0,7-4,1-1,,4.82,1.93,0.74,-0.096,-2.00
두산,김호준,0.2,4,2,1,1,0,0,0,0,1-1,16-10,1-0,,8.31,2.08,0.17,0.004,0.25
두산,최종인,0.0,2,1,1,1,1,0,0,0,0-0,10-4,1-1,,99.99,99.99,0.18,-0.017,-1.55
두산,홍민규,2.2,11,2,0,0,2,0,2,0,2-2,55-35,2-1,,1.93,1.50,0.04,-0.002,1.38
두산,팀 합계,9.0,43,13,7,7,5,0,9,0,9-6,185-122,5-3,46,7.00,2.00,0.47,-0.185,-1.53
