팀명,타자기록1,타자기록2,타자기록3,타자기록4,타자기록5,타자기록6,수비기록1
삼성,"2루타 : 김지찬 (1회, 3호) , 김성윤 (3회, 1호)","병살타 : 강민호 (1회, 1호)","타점 : 구자욱 (1회 1점, 11호) , 이재현 (3회 2점, 8호)",득점권상황 : 5타수 2안타,"도루성공 : 김지찬 (3회, 3호)","주루사 : 강민호 (9회, 1호)",
두산,"홈런 : 강승호 (4회, 1호)","희생플라이 : 정수빈 (3회, 1호)","타점 : 정수빈 (3회 1점, 1호) , 강승호 (4회 1점, 3호)",득점권상황 : 3타수 0안타,,,"실책 : 케이브 (1회, 1호)"
