팀명,타자기록1,타자기록2,타자기록3,타자기록4,타자기록5,타자기록6,타자기록7,수비기록1
KIA,"2루타 : 김선빈 (7회, 3호) , 김규성 (7회, 1호)","홈런 : 위즈덤 (6회, 4호)","희생번트 : 서건창 (7회, 2호)","병살타 : 서건창 (2회, 1호) , 이우성 (4회, 2호)","타점 : 변우혁 (4회 1점, 2호) , 위즈덤 (6회 1점, 7호) , 김선빈 (7회 1점, 6호) , 김규성 (7회 1점, 4호) , 위즈덤 (7회 1점, 8호)",득점권상황 : 10타수 4안타,"도루성공 : 박재현 (1회, 1호) , 서건창 (9회, 1호)","실책 : 김태군 (1회, 1호)"
한화,"2루타 : 황영묵 (3회, 3호) , 플로리얼 (5회, 2호) , 심우준 (7회, 2호)","병살타 : 황영묵 (9회, 1호)","사구 : 김태연 (4회, 2호) , 최재훈 (4회, 1호)","타점 : 플로리얼 (3회 1점, 5호) , 심우준 (4회 1점, 2호) , 플로리얼 (7회 1점, 6호)",득점권상황 : 7타수 1안타,"도루성공 : 김태연 (4회, 1호) , 심우준 (4회, 3호)","도루실패 : 플로리얼 (5회, 1호)",
